% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
69.19%,0.843570058,30.81%,0.025911708,0.130518234,98.67%,0.00%,1.33%,0.00%,879,Pakistan,Vehari,87.03917051,52.045,2.62%,48.66129032,73.88,65.96,0.00%,0.692358804,1042,0.307641196,463,4.10%,2090416,27,136,Punjab,57.45,63.71,65.32488479,1505
52.02%,0.835680751,47.98%,0.042253521,0.122065728,95.96%,0.00%,4.04%,0.00%,712,Pakistan,Attock,86.84,81.8,2.68%,81.67,87.66,55.2,0.00%,0.662004662,852,0.337995338,435,4.00%,1274935,36,104,Punjab,86.36,89.4,94.71,1287
59.46%,0.713119216,40.54%,0.097441481,0.189439303,88.43%,0.00%,11.57%,0.00%,1310,Pakistan,Bahawalnagar,88.93,67.94,2.68%,64.43,73.52,56.98,0.00%,0.76446109,1837,0.23553891,566,4.00%,2061447,179,348,Punjab,50.72,82.53,88.65,2403
66.62%,0.752610966,33.38%,0.066579634,0.180809399,92.60%,0.00%,7.40%,0.00%,1153,Pakistan,Bahawalpur,96.29,61.49,2.68%,76.27,56.22,58.66,0.00%,0.776482514,1532,0.223517486,441,4.00%,2433091,102,277,Punjab,47.71,89.25,96.29,1973
78.52%,0.836714976,21.48%,0.024154589,0.139130435,89.96%,0.00%,10.04%,0.00%,866,Pakistan,Bhakkar,97.61,71.68,2.68%,67.5,81.12,75.25,0.00%,0.769516729,1035,0.230483271,310,4.00%,1051456,25,144,Punjab,58.85,84.55,91.49,1345
52.21%,0.900133156,47.79%,0.015978695,0.083888149,96.61%,0.00%,3.39%,0.00%,676,Pakistan,Chakwal,94.96,84.75,2.68%,82.68,96.23,56.31,0.00%,0.621688742,751,0.378311258,457,4.00%,1083725,12,63,Punjab,88.67,92.48,95.95,1208
83.71%,0.822097378,16.29%,0.052434457,0.125468165,96.10%,0.00%,3.90%,0.00%,439,Pakistan,Chiniot,99.26,66.28,2.68%,88.29,76.98,62.52,0.00%,0.770562771,534,0.229437229,159,4.00%,965124,28,67,Punjab,59.35,92.71,98.51,693
75.09%,0.592567103,24.91%,0.206469374,0.200963524,76.37%,0.00%,23.63%,0.00%,861,Pakistan,Dera Ghazi Khan,80.34,49.42,2.68%,23.73,75.69,11.25,0.00%,0.815375982,1453,0.184624018,329,4.00%,2643118,300,292,Punjab,35.82,59.45,68.57,1782
53.70%,0.868008949,46.30%,0.041759881,0.090231171,96.09%,0.00%,3.91%,0.00%,1164,Pakistan,Faisalabad,98.36,80.99,2.68%,92.32,84.11,59.78,0.00%,0.576526225,1341,0.423473775,985,4.00%,5429547,56,121,Punjab,83.78,93.28,96.87,2326
56.58%,0.838209983,43.42%,0.048192771,0.113597246,95.90%,0.00%,4.10%,0.00%,974,Pakistan,Gujranwala,96.74,77.18,2.68%,76.65,85.87,43.27,0.00%,0.679929783,1162,0.320070217,547,4.00%,3400940,56,132,Punjab,86.14,88.33,91.07,1709
56.97%,0.878172589,43.03%,0.023350254,0.098477157,97.65%,0.00%,2.35%,0.00%,865,Pakistan,Gujrat,98.69,77.76,2.68%,93.12,85.91,64.09,0.00%,0.662407532,985,0.337592468,502,4.00%,2048008,23,97,Punjab,68.01,95.75,96.66,1487
55.91%,0.693014706,44.09%,0.018382353,0.288602941,97.40%,0.00%,2.60%,0.00%,377,Pakistan,Hafizabad,97.26,76.83,2.68%,69.29,80.93,63.41,0.00%,0.744186047,544,0.255813953,187,4.00%,832980,10,157,Punjab,68.88,87.97,90.68,731
59.18%,0.846805235,40.82%,0.077752117,0.075442648,85.26%,0.00%,14.74%,0.00%,1100,Pakistan,Jhang,98.94,72.33,2.68%,74.81,72.92,68.39,0.00%,0.78489426,1299,0.21510574,356,4.00%,2834546,101,98,Punjab,57.2,87.86,95.52,1655
52.31%,0.853747715,47.69%,0.02559415,0.120658135,97.61%,0.00%,2.39%,0.00%,467,Pakistan,Jhelum,88.11,77.7,2.68%,87.03,96.43,47.07,0.00%,0.653524492,547,0.346475508,290,4.00%,936957,14,66,Punjab,69.6,90.05,93.87,837
